Ayah,Timing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,0-3971,3971-6348,6348-11285,6348-11285,6348-11285,11285-15987,15987-21420,15987-21420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,0-4389,0-4389,4389-6636,6636-10424,10424-13245,13245-17242,17242-18731,18731-22884,18731-22884,22884-27534,22884-27534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,0-3683,0-3683,3683-6008,6008-8934,8934-11390,11390-14107,14107-16563,16563-20220,20220-22989,22989-25445,25445-28423,28423-32446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,0-4310,0-4310,4310-8568,4310-8568,8568-12173,12173-15386,15386-20506,15386-20506,20506-27507,20506-27507,20506-27507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,0-5303,0-5303,5303-8673,8673-11546,11546-16091,11546-16091,16091-18390,18390-22543,22543-28238,22543-28238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0-1750,1750-11285,1750-11285,1750-11285,1750-11285,11285-13897,13897-16274,16274-18991,18991-23171,18991-23171,23171-25757,25757-30224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,0-2456,2456-4755,4755-6793,6793-10241,6793-10241,10241-13062,10241-13062,13062-15335,15335-18757,18757-20847,20847-25183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0-1985,1985-5459,5459-10004,5459-10004,10004-17135,10004-17135,10004-17135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,0-2612,2612-4937,4937-6896,6896-9613,9613-11755,11755-16718,11755-16718,16718-19252,19252-22178,22178-24529,24529-30067,24529-30067,30067-32340,32340-35971,35971-40621,35971-40621,40621-47387,40621-47387,40621-47387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,0-2638,2638-6530,2638-6530,6530-9639,9639-11964,11964-15464,15464-18128,18128-20244,20244-22255,22255-26121,26121-28368,28368-31450,31450-33749,33749-37223,37223-39365,39365-44433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0-3030,3030-6583,6583-8777,8777-12304,12304-14263,14263-17685,17685-22204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,0-9378,0-9378,0-9378,0-9378,9378-12199,12199-14341,14341-19121,14341-19121,19121-22857,19121-22857,22857-27820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,0-2664,2664-8097,2664-8097,2664-8097,8097-13818,8097-13818,13818-17632,17632-19382,19382-22360,22360-25991,22360-25991,25991-28995,28995-32104,32104-34011,34011-41874,34011-41874,34011-41874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,0-4754,0-4754,4754-9012,4754-9012,9012-14445,9012-14445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,0-1620,1620-8307,1620-8307,1620-8307,8307-10684,10684-21446,10684-21446,10684-21446,10684-21446,21446-24816,24816-26723,26723-33619,26723-33619,26723-33619,33619-38426,33619-38426,38426-41352,41352-48588,41352-48588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0-4441,0-4441,4441-7288,7288-10553,10553-13348,13348-16848,16848-21184,16848-21184,21184-23352,23352-25938,25938-28707,28707-31554,31554-33618,33618-35682,35682-40332,35682-40332,40332-43127,43127-46262,46262-50337,50337-54490,50337-54490,54490-56789,56789-59297,59297-65070,59297-65070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,0-6870,0-6870,0-6870,6870-11520,6870-11520,11520-14393,14393-17528,17528-21499,17528-21499,21499-24451,24451-28761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,0-2743,2743-5199,5199-8882,5199-8882,8882-15752,8882-15752,15752-22753,15752-22753,22753-27429,22753-27429,27429-33855,27429-33855,33855-35997,35997-40124,35997-40124,40124-43442,40124-43442,43442-47360,43442-47360,47360-50573,50573-57652,50573-57652,57652-61858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,0-4519,0-4519,4519-6400,6400-11651,6400-11651,11651-14812,14812-17032,17032-19827,19827-22283,22283-28526,22283-28526,22283-28526,28526-31060,31060-40438,31060-40438,31060-40438,31060-40438,40438-44513,40438-44513,44513-49241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,0-4624,0-4624,0-4624,4624-9535,4624-9535,9535-15256,9535-15256,9535-15256,15256-20376,15256-20376,20376-23824,23824-26253,26253-31007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,0-4911,0-4911,4911-7993,7993-13348,7993-13348,13348-16012,16012-18154,18154-24423,18154-24423,24423-31633,24423-31633,24423-31633,31633-34454,34454-37249,37249-39757,39757-47986,39757-47986,39757-47986,39757-47986,47986-51904,47986-51904,51904-55065,55065-58017,55065-58017,58017-60603,60603-62823,62823-66376,66376-68596,68596-71234,71234-76955,71234-76955,76955-78888,78888-81396,81396-85941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,0-4049,0-4049,4049-7393,4049-7393,7393-11129,7393-11129,11129-15126,11129-15126,15126-20559,15126-20559,20559-23380,23380-28631,23380-28631,28631-31870,31870-35344,35344-40072,35344-40072,40072-43442,40072-43442,43442-48666,43442-48666,48666-51383,51383-55327,55327-58044,58044-61962,58044-61962,61962-64835,64835-67238,67238-69955,69955-72071,72071-77478,72071-77478,77478-79803,79803-82781,82781-86386,82781-86386,86386-88580,88580-93935,88580-93935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,0-3344,3344-7576,7576-11181,7576-11181,11181-14890,11181-14890,14890-18469,18469-22022,22022-23824,23824-27403,23824-27403,27403-29623,29623-33959,29623-33959,33959-37773,37773-40124,37773-40124,40124-44513,44513-50182,44513-50182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,0-2220,2220-5459,5459-8672,8672-12408,12408-18808,12408-18808,18808-21734,21734-24869,24869-27795,27795-30877,30877-33489,33489-36180,36180-40725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,0-3030,0-3030,3030-5564,5564-9404,5564-9404,9404-12304,9404-12304,12304-19070,12304-19070,12304-19070,19070-23380,19070-23380,23380-27951,27951-30589,30589-35056,35056-37407,37407-40254,40254-42605,42605-46863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,0-2247,2247-4494,4494-7211,7211-11861,11861-15074,15074-20716,15074-20716,15074-20716,20716-23302,23302-25784,25784-28893,28893-31453,31453-35189,31453-35189,35189-37723,37723-43339,37723-43339,43339-46056,46056-48747,48747-51829,51829-55199,55199-56479,56479-58699,58699-61964,61964-64681,64681-66510,66510-71630,66510-71630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,0-2978,2978-8751,2978-8751,8751-11311,11311-13845,13845-16614,16614-22413,16614-22413,22413-25208,25208-29440,29440-33411,33411-37643,37643-42345,37643-42345,42345-46655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,0-2377,2377-5956,5956-9117,5956-9117,9117-11416,11416-13845,13845-15621,15621-19409,19409-23092,23092-31503,23092-31503,23092-31503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,0-2220,2220-5720,5720-13792,5720-13792,13792-17162,17162-25155,17162-25155,25155-27480,27480-29544,29544-32600,29544-32600,32600-35500,35500-37982,37982-42658,37982-42658,42658-45610,45610-48823,48823-50704,50704-53630,53630-55877,55877-59168,59168-63452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,0-2273,2273-4624,4624-11076,4624-11076,11076-14028,14028-16875,16875-19304,19304-22282,22282-24215,24215-27611,27611-30354,30354-35657,30354-35657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,0-2952,2952-7262,2952-7262,7262-10031,10031-15360,10031-15360,15360-17842,17842-20324,20324-22649,22649-25105,25105-27691,27691-31766,27691-31766,31766-36102,31766-36102,36102-39237,39237-44592,39237-44592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,0-5773,0-5773,5773-8411,8411-12173,12173-15282,15282-17711,17711-21342,21342-25313,21342-25313,25313-28004,28004-30642,30642-32758,32758-35083,35083-37930,35083-37930,37930-44043,37930-44043,44043-45924,45924-49398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,0-3187,3187-5878,5878-9405,5878-9405,9405-15309,9405-15309,15309-18966,18966-22466,22466-29571,22466-29571,22466-29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,0-3683,0-3683,3683-6374,6374-9456,9456-12826,12826-20741,12826-20741,20741-26984,20741-26984,20741-26984,26984-29492,29492-32783,29492-32783,32783-35474,35474-38295,35474-38295,38295-42788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,0-3187,3187-5825,5825-9169,9169-13505,13505-17528,17528-23197,17528-23197,23197-24817,24817-27612,27612-32105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,0-3056,3056-9143,3056-9143,9143-13688,9143-13688,13688-16979,16979-19513,19513-22491,22491-25469,25469-27559,27559-30432,30432-33854,33854-38164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,0-3213,3213-5538,5538-9744,9744-14289,9744-14289,14289-16771,16771-20872,16771-20872,20872-23615,23615-27664,23615-27664,27664-31661,27664-31661,31661-35553,35553-42998,35553-42998,35553-42998,42998-47282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,0-2247,2247-6557,2247-6557,6557-10057,10057-14916,10057-14916,14916-18416,18416-22648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,0-4911,0-4911,4911-9404,4911-9404,9404-12486,12486-17867,12486-17867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,0-5721,0-5721,5721-8621,8621-12774,12774-16771,16771-20324,20324-26228,20324-26228,26228-32158,26228-32158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,0-3344,3344-6479,6479-10554,10554-14472,14472-17868,17868-20402,20402-25888,20402-25888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,0-3213,3213-7654,7654-13401,7654-13401,13401-16118,16118-19723,19723-22283,22283-27142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,0-2664,2664-8933,2664-8933,8933-12851,8933-12851,12851-15620,15620-18520,18520-21602,21602-25155,25155-30171,25155-30171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,0-2873,2873-7549,2873-7549,2873-7549,7549-10109,10109-19774,10109-19774,10109-19774,10109-19774,10109-19774,19774-22256,22256-29152,22256-29152,22256-29152,29152-31738,31738-36388,31738-36388,31738-36388,36388-41195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,0-2011,2011-7079,2011-7079,7079-9326,9326-12487,12487-16484,16484-21656,16484-21656,21656-25183,25183-29075,29075-33150,33150-36990,36990-39237,39237-48171,39237-48171,39237-48171,39237-48171,48171-52037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,0-2011,2011-4884,4884-8646,4884-8646,8646-13322,13322-16718,16718-18834,18834-21681,21681-25155,25155-29335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,0-2064,2064-5146,5146-7654,7654-10736,10736-19304,10736-19304,10736-19304,10736-19304,19304-23588,19304-23588,23588-27141,27141-31373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,0-2664,2664-5564,5564-12016,5564-12016,5564-12016,12016-14419,14419-17528,17528-21969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,0-2273,2273-5382,5382-9535,5382-9535,9535-13427,13427-16379,16379-20585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,0-2038,2038-4206,4206-6740,6740-9901,9901-12801,12801-16275,16275-19018,19018-27586,19018-27586,19018-27586,27586-30407,30407-32340,32340-35344,35344-38061,38061-42110,42110-44879,44879-48353,44879-48353,48353-51462,51462-54597,54597-57366,57366-60370,60370-63479,63479-70166,63479-70166,63479-70166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,0-2247,2247-4415,4415-7524,7524-11260,7524-11260,11260-13245,13245-15622,15622-19227,15622-19227,19227-27743,19227-27743,19227-27743,27743-31452,31452-35684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,0-2795,2795-9378,2795-9378,2795-9378,9378-12069,12069-15204,15204-19488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,0-3474,3474-8176,3474-8176,8176-12852,12852-17789,12852-17789,17789-20924,20924-22883,22883-27768,22883-27768,27768-29753,29753-32992,32992-37250,32992-37250,37250-42109,37250-42109,42109-45871,45871-50051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058,0-2090,2090-5512,2090-5512,5512-10005,5512-10005,10005-12539,12539-14864,14864-17163,17163-19488,19488-25627,19488-25627,19488-25627,25627-30878,25627-30878,30878-36520,30878-36520,30878-36520,36520-39733,39733-46734,39733-46734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,0-4598,0-4598,4598-6897,6897-9379,9379-12958,9379-12958,12958-15361,15361-17346,17346-21708,21708-25548,21708-25548,25548-28004,28004-34012,28004-34012,28004-34012,34012-36232,36232-38792,38792-43938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,0-3971,0-3971,3971-6505,6505-9561,9561-16301,9561-16301,9561-16301,9561-16301,16301-20402,20402-23955,20402-23955,23955-26776,26776-29467,29467-30982,30982-32236,32236-34430,34430-39811,34430-39811,39811-41849,41849-44827,44827-49555,44827-49555,44827-49555,49555-53395,49555-53395,53395-56138,53395-56138,56138-60579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061,0-2064,2064-4311,4311-7629,7629-11652,7629-11652,11652-14003,14003-21004,14003-21004,14003-21004,21004-23120,23120-25811,25811-28319,28319-30539,30539-34222,34222-38950,34222-38950,38950-42921,38950-42921,42921-48041,48041-51646,51646-54885,54885-58281,58281-60397,60397-66144,60397-66144,66144-67999,67999-70350,70350-73223,73223-75182,75182-78526,78526-81243,81243-86859,81243-86859,86859-90699,86859-90699,90699-93076,93076-95610,95610-100599,95610-100599,100599-104152,104152-107757,107757-113870,107757-113870,107757-113870,113870-116482,116482-120662,120662-122961,122961-126279,126279-131190,126279-131190,131190-137877,131190-137877,137877-141848,137877-141848,141848-144512,144512-146811,146811-151017,146811-151017,151017-155458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
